rozmiar tablicy;dodanie na start;usuniecie ze startu;dodanie na koncu;usuniecie z konca;dodanie na pozycji;usuniecie z pozycji;szukanie;
1000;0.0040686;0.0020343;0.00178001;0.00178001;0.0020343;0.00178001;0.00178001;
1000;0.00279716;0.0020343;0.00152572;0.00127144;0.00178001;0.0020343;0.00178001;
1000;0.00381431;0.0020343;0.00178001;0.00127144;0.0020343;0.00127144;0.00178001;
1000;0.00330574;0.00178001;0.00178001;0.00152572;0.00178001;0.0061029;0.00178001;
1000;0.00279716;0.00152572;0.00178001;0.00152572;0.00178001;0.00127144;0.00152572;
1000;0.00330574;0.00178001;0.00127144;0.00127144;0.00152572;0.00178001;0.00101715;
1000;0.00356002;0.00178001;0.00178001;0.00178001;0.00152572;0.00152572;0.00101715;
1000;0.00356002;0.00178001;0.00127144;0.00178001;0.00178001;0.00152572;0.00101715;
1000;0.0040686;0.0020343;0.0020343;0.00228859;0.00228859;0.00228859;0.00101715;
1000;0.00457717;0.00178001;0.00127144;0.00228859;0.00228859;0.00152572;0.00101715;
1000;0.0040686;0.0020343;0.00178001;0.00152572;0.0020343;0.00127144;0.00228859;
1000;0.00508575;0.00178001;0.00228859;0.00152572;0.00178001;0.00178001;0.00305145;
1000;0.00330574;0.00178001;0.00152572;0.00127144;0.00152572;0.00152572;0.00305145;
1000;0.00330574;0.0020343;0.00127144;0.00228859;0.00228859;0.0040686;0.00279716;
1000;0.00432288;0.0020343;0.00127144;0.00127144;0.00152572;0.00178001;0.00279716;
1000;0.00381431;0.00152572;0.00127144;0.00152572;0.00178001;0.00152572;0.00305145;
1000;0.00381431;0.00228859;0.0020343;0.00178001;0.00228859;0.00178001;0.00101715;
1000;0.00381431;0.0020343;0.00152572;0.00178001;0.00178001;0.00254287;0.0020343;
1000;0.0040686;0.00152572;0.00152572;0.00127144;0.00178001;0.00178001;0.0020343;
1000;0.00305145;0.0020343;0.00152572;0.00152572;0.00152572;0.00178001;0.00178001;
1000;0.00330574;0.00178001;0.0020343;0.00178001;0.00127144;0.00127144;0.00178001;
1000;0.00330574;0.00152572;0.00127144;0.00178001;0.00228859;0.00152572;0.0020343;
1000;0.00330574;0.00228859;0.00152572;0.00178001;0.0020343;0.00178001;0.000254287;
1000;0.00432288;0.00178001;0.00178001;0.00152572;0.00152572;0.00152572;0.00305145;
1000;0.00483146;0.00330574;0.0020343;0.0020343;0.00228859;0.00228859;0.00305145;
1000;0.00534003;0.00305145;0.00254287;0.00178001;0.00178001;0.00279716;0.00305145;
1000;0.00381431;0.00152572;0.00127144;0.00178001;0.00228859;0.00152572;0.00279716;
1000;0.00330574;0.00152572;0.00127144;0.00178001;0.00178001;0.00152572;0.00279716;
1000;0.00279716;0.0020343;0.00178001;0.00127144;0.00178001;0.00152572;0.00152572;
1000;0.00279716;0.00178001;0.00127144;0.00127144;0.00152572;0.00127144;0.000254287;
1000;0.00356002;0.0020343;0.00127144;0.00127144;0.00152572;0.00178001;0.000254287;
1000;0.00356002;0.00178001;0.00127144;0.00178001;0.00228859;0.00178001;0.000254287;
1000;0.00483146;0.0020343;0.00228859;0.00152572;0.00228859;0.00178001;0.000254287;
20000;0.0282259;0.015003;0.015003;0.0142401;0.0144944;0.0137315;0.0434831;
20000;0.027463;0.0142401;0.0129687;0.0127144;0.0129687;0.0134772;0.0508575;
20000;0.0475517;0.0137315;0.0132229;0.0129687;0.027463;0.0132229;0.0358545;
20000;0.037126;0.0129687;0.0129687;0.0127144;0.0129687;0.0129687;0.0264459;
20000;0.0335659;0.0157658;0.0157658;0.0155115;0.0157658;0.0160201;0.0190716;
20000;0.0353459;0.0137315;0.0132229;0.0132229;0.0132229;0.0129687;0.0434831;
20000;0.0320402;0.0345831;0.0139858;0.0134772;0.0129687;0.0269545;0.038906;
20000;0.0282259;0.0139858;0.0127144;0.0124601;0.0127144;0.0134772;0.0134772;
20000;0.0366174;0.0172915;0.0172915;0.0180544;0.0172915;0.0172915;0.0414488;
